natural order names civil,street name
Amelia Boynton Robinson,N Robinson St
Amelia Boynton Robinson,S Robinson St
C. L. Franklin,E Franklin St
C. L. Franklin,W Franklin St
Coretta Scott King,King St
Ernestine Rose,Rose Ave
Harriette Moore,Moore St
Harriette Moore,W Moore St
Harry T. Moore,Moore St
Harry T. Moore,W Moore St
Lillie Mae Carroll Jackson,E Jackson St
Lillie Mae Carroll Jackson,W Jackson St
Louis Berry,Berry Rd
Louis Berry,Berry St
"Oscar Brown, Sr.",Brown St
Rashad Robinson,N Robinson St
Rashad Robinson,S Robinson St
Sadie Tanner Mossell Alexander,Alexander Ave
Ted Berry,Berry Rd
Ted Berry,Berry St
W. Harry Davis,N Davis Ave
W. Harry Davis,S Davis Ave
Xernona Clayton,Clayton Dr
