natural order names civil,natural order names confederate,street name
Amelia Boynton Robinson,James L. Robinson,N Robinson St
Amelia Boynton Robinson,James L. Robinson,S Robinson St
Coretta Scott King,Wilburn Hill King,King St
Harriette Moore,Patrick T. Moore,Moore St
Harriette Moore,Patrick T. Moore,W Moore St
Harry T. Moore,Patrick T. Moore,Moore St
Harry T. Moore,Patrick T. Moore,W Moore St
Lillie Mae Carroll Jackson,Alfred E. Jackson,E Jackson St
Lillie Mae Carroll Jackson,William Hicks Jackson,E Jackson St
Lillie Mae Carroll Jackson,Alfred E. Jackson,W Jackson St
Lillie Mae Carroll Jackson,William Hicks Jackson,W Jackson St
Louis Berry,James Henderson Berry,Berry Rd
Louis Berry,James Henderson Berry,Berry St
Oscar Brown Sr.,John C. Brown,Brown St
Oscar Brown Sr.,John Robert Brown ,Brown St
Rashad Robinson,James L. Robinson,N Robinson St
Rashad Robinson,James L. Robinson,S Robinson St
Ted Berry,James Henderson Berry,Berry Rd
Ted Berry,James Henderson Berry,Berry St
W. Harry Davis,Alexander Davis,N Davis Ave
W. Harry Davis,William G. M. Davis,N Davis Ave
W. Harry Davis,Alexander Davis,S Davis Ave
W. Harry Davis,William G. M. Davis,S Davis Ave
